fullvisitorid,channelgrouping,time,country,city,totaltransactionrevenue,transactions,timeonsite,pageviews,sessionqualitydim,date,visitid,type,productrefundamount,productquantity,productprice,productrevenue,productsku,v2productname,v2productcategory,productvariant,currencycode,itemquantity,itemrevenue,transactionrevenue,transactionid,pagetitle,searchkeyword,pagepathlevel1,ecommerceaction_type,ecommerceaction_step,ecommerceaction_option,ts_timeonsite
1.783293289397753e+17,Organic Search,0,India,"",,,,1,,2017-05-27,1495947140,PAGE,,,4,,GGOEYDHJ056099,22 oz YouTube Bottle Infuser,Home/Drinkware/,(not set),USD,,,,,Drinkware | Google Merchandise Store,,/google+redesign/,0,1,,
3.564648819003808e+17,Organic Search,112468,Singapore,"",,,112,3,,2017-02-27,1488257362,PAGE,,,22,,GGOEGHPB003410,Google Snapback Hat Black,Home/Shop by Brand/Google/,(not set),USD,,,,,Google | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:01:52
2.526978216388931e+18,Organic Search,0,India,"",,,,1,,2017-01-09,1484029436,PAGE,,,98,,GGOEGAAX0598,Google Men's Convertible Vest-Jacket Pewter,Home/Apparel/Men's/Men's-Outerwear/,(not set),USD,,,,,Men's Outerwear | Apparel | Google Merchandise Store,,/google+redesign/,0,1,,
3.3863465017781363e+17,Organic Search,0,United Kingdom,"",,,,1,,2016-12-15,1481828281,PAGE,,,23,,GGOEGAAX0614,YouTube Onesie Heather,Home/Shop by Brand/YouTube/,(not set),USD,,,,,YouTube | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,,
1.631635632541863e+16,Direct,46944,United States,"",,,47,4,,2017-01-08,1483931320,PAGE,,,49,,GGOEGEVB070499,Google Bluetooth Headphones,Home/Electronics/Audio/,(not set),USD,,,,,Audio | Electronics | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:00:47
1.1770556612198303e+18,Direct,0,Taiwan,"",,,,1,1,2017-07-21,1500622239,PAGE,,,18,,GGOEGAAX0339,Google Men's Vintage Badge Tee White,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,,,,,Men's T-Shirts | Apparel | Google Merchandise Store,,/google+redesign/,0,1,,
6.047859140211755e+18,Referral,1124028,Taiwan,"",,,1124,4,,2016-08-17,1471498930,PAGE,,,24,,GGOEGAAX0315,Google 3/4 Sleeve Raglan Badge Henley Black,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,,,,,Men's-T-Shirts,,/google+redesign/,0,1,,1969-12-31 19:18:44
3.154004967994161e+17,Direct,125332,Taiwan,"",,,125,2,,2017-05-26,1495831765,PAGE,,,20,,GGOEGAAX0356,YouTube Men's Vintage Tank,Home/Shop by Brand/YouTube/,(not set),USD,,,,,YouTube | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:02:05
8.44063984755963e+17,Affiliates,1221024,Taiwan,"",,,1221,6,,2017-05-04,1493914077,PAGE,,,4,,GGOEGBMJ013399,Sport Bag,Home/Bags/More Bags/,(not set),USD,,,,,More Bags | Bags | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:20:21
3.552283963098765e+18,Affiliates,14321,Taiwan,"",,,1379,4,,2017-03-15,1489642981,PAGE,,,10,,GGOEGEFR024199,Metal Earbuds with Small Zipper Case,Home/Electronics/Audio/,(not set),USD,,,,,Audio | Electronics | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:22:59
7.214212630051078e+18,Direct,0,Hong Kong,"",,,,1,,2017-05-21,1495355756,PAGE,,,1,,GGOEYFKQ020699,YouTube Custom Decals,Home/Shop by Brand/,(not set),USD,,,,,Shop by Brand | Google Merchandise Store,,/store.html,0,1,,
